dd-mm-yyyyThh:mm:ss,Longitude [degrees_east] ,Latitude [degrees_north] ,Depth [m] ,DataSet,Datatype,Parameter,Value,Precision,Unit,Species,Matrix,DEPHL,DEPHU,QFLAG,BASIS,Depth Class,Age Class,Length Class,Sex,DayNight,NOINP,Original Value,Original Unit,SampleID,MeasurementID,ICES Position Note,ICES DateTime Note
17/06/1996 00:00,4.3015,52.3013,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,9.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,9.00E-07,g/g,8388669_274420_1793504,144C301714,,
17/06/1996 00:00,4.0422,52.3858,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,2.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,2.00E-07,g/g,8388669_274430_1793502,144C301724,,
18/06/1996 00:00,3.203,51.4908,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,7.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,7.00E-07,g/g,8388669_274437_1793485,144C301726,,
18/06/1996 00:00,3.4065,51.5427,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,5.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,5.00E-07,g/g,8388669_274440_1793488,144C301735,,
18/06/1996 00:00,3.393,51.5617,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,6.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,6.00E-07,g/g,8388669_274439_1793487,144C301736,,
18/06/1996 00:00,3.3875,51.6178,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,3.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,3.00E-07,g/g,8388669_274438_1793486,144C301734,,
18/06/1996 00:00,3.4905,51.7187,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,4.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,4.00E-07,g/g,8388669_274441_1793489,144C301725,,
18/06/1996 00:00,3.8708,51.8685,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,6.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,6.00E-07,g/g,8388669_274436_1793496,144C301730,,
18/06/1996 00:00,3.9192,51.9222,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.20E-06,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,1.20E-06,g/g,8388669_274425_1793497,144C301715,,
18/06/1996 00:00,4.17,52.0463,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,6.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,6.00E-07,g/g,8388669_274455_1793519,144C301704,,
18/06/1996 00:00,3.5075,52.0812,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,4.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,4.00E-07,g/g,8388669_274442_1793490,144C301732,,
18/06/1996 00:00,4.0887,52.1097,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.00E-06,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,1.00E-06,g/g,8388669_274454_1793518,144C301702,,
25/06/1996 00:00,3.1082,51.7177,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,4.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,4.00E-07,g/g,8388669_274416_1793483,144C302524,,
25/06/1996 00:00,2.6742,51.9542,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.00E-07,,g/g,,SED63,0.05,0,<;METPT:DFRZ,D,,,,,,,1.00E-07,g/g,8388669_274379_1793478,144C302519,,
26/06/1996 00:00,4.4037,52.2568,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.20E-06,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,1.20E-06,g/g,8388669_274422_1793506,144C301711,,
26/06/1996 00:00,3.7853,52.4752,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,4.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,4.00E-07,g/g,8388669_274434_1793494,144C301729,,
26/06/1996 00:00,3.5255,52.585,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,2.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,2.00E-07,g/g,8388669_274431_1793491,144C301733,,
26/06/1996 00:00,3.6817,52.9913,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,2.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,2.00E-07,g/g,8388669_274419_1793503,144C301713,,
26/06/1996 00:00,3,53.5,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,2.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,2.00E-07,g/g,8388669_274413_1793480,144C302521,,
27/06/1996 00:00,5.1503,53.4092,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,6.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,6.00E-07,g/g,8388669_274446_1793513,144C301710,,
27/06/1996 00:00,5.0217,53.5372,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,2.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,2.00E-07,g/g,8388669_274445_1793512,144C301708,,
27/06/1996 00:00,4.6095,53.9217,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.00E-07,,g/g,,SED63,0.05,0,<;METPT:DFRZ,D,,,,,,,1.00E-07,g/g,8388669_274424_1793508,144C301718,,
27/06/1996 00:00,4.3385,54.143,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.00E-07,,g/g,,SED63,0.05,0,<;METPT:DFRZ,D,,,,,,,1.00E-07,g/g,8388669_274421_1793505,144C301716,,
27/06/1996 00:00,4.038,54.4093,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,1.00E-07,g/g,8388669_274429_1793501,144C301722,,
27/06/1996 00:00,3.1545,55.17,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,6.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,6.00E-07,g/g,8388669_274417_1793484,144C301731,,
27/06/1996 00:00,3.0997,55.3375,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,4.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,4.00E-07,g/g,8388669_274415_1793482,144C302522,,
03/07/1996 00:00,4.54,52.4667,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.00E-06,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,1.00E-06,g/g,8388669_274423_1793507,144C301717,,
03/07/1996 00:00,4.6083,52.6208,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,9.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,9.00E-07,g/g,8388669_274450_1793523,144C302558,,
03/07/1996 00:00,4.4745,52.6363,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,5.00E-07,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,5.00E-07,g/g,8388669_274457_1793521,144C302554,,
11/07/1996 00:00,4.6875,52.8637,0.05,Contaminants and biological effects,Contaminants and biological effects of contaminants in sediment data,CD,1.20E-06,,g/g,,SED63,0.05,0,;METPT:DFRZ,D,,,,,,,1.20E-06,g/g,8388669_274451_1793524,144C302557,,
