datelastmodified,catalognumber,scientificname,yearcollected,monthcollected,daycollected,longitude,latitude,coordinateprecision,minimumdepth,maximumdepth,sex,observedindividualcount,aphiaid,occurrenceid,datasetid,dataprovider_id,aphiaidaccepted,scientificname_accepted,taxonlsid
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_25226,Bivalvia,2009,5,14,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=105,ILVO_zoopl_BPNS_25226,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,105,Bivalvia,urn:lsid:marinespecies.org:taxname:105
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_25215,Pisces,2009,5,14,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=11676,ILVO_zoopl_BPNS_25215,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,11676,Pisces,urn:lsid:marinespecies.org:taxname:11676
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_25222,Pisces,2009,5,14,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=11676,ILVO_zoopl_BPNS_25222,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,11676,Pisces,urn:lsid:marinespecies.org:taxname:11676
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_25248,Paracalanus/pseudocalanus,2009,5,14,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=1100,ILVO_zoopl_BPNS_25248,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,1100,Calanoida,urn:lsid:marinespecies.org:taxname:1100
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_25217,Decapoda,2009,5,14,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=1130,ILVO_zoopl_BPNS_25217,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,1130,Decapoda,urn:lsid:marinespecies.org:taxname:1130
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_25231,Hydrozoa,2009,5,14,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=1337,ILVO_zoopl_BPNS_25231,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,1337,Hydrozoa,urn:lsid:marinespecies.org:taxname:1337
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_24861_24885,Cumacea,2009,1,,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=1137,ILVO_zoopl_BPNS_24861_24885,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,1137,Cumacea,urn:lsid:marinespecies.org:taxname:1137
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_25220,Hydrozoa,2009,5,14,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=1337,ILVO_zoopl_BPNS_25220,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,1337,Hydrozoa,urn:lsid:marinespecies.org:taxname:1337
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_24857_24865,Polychaeta,2009,1,,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=883,ILVO_zoopl_BPNS_24857_24865,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,883,Polychaeta,urn:lsid:marinespecies.org:taxname:883
2015-03-03T17:45:33.033,ILVO_zoopl_BPNS_25224,Polychaeta,2009,5,14,2.63,51.16,,,,,,http://marinespecies.org/aphia.php?p=taxdetails&id=883,ILVO_zoopl_BPNS_25224,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=4456,785,883,Polychaeta,urn:lsid:marinespecies.org:taxname:883
